title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
Mary Stuart,Friedrich Schiller,German,04/12/23,,," Friedrich Schiller's historical drama portrays the political and personal rivalry between Queen Elizabeth I and Mary, Queen of Scots. This psychological masterpiece explores female power, religious conflict, and the tension between personal morality and political necessity."," Friedrich Schiller's historical drama portrays the political and personal rivalry between Queen Elizabeth I and Mary, Queen of Scots. This psychological masterpiece explores female power, religious conflict, and the tension between personal morality and political necessity.",,"England and Scotland, 16th century","Mary Stuart,Queen Elizabeth I",,digital
Mateo Falcone,Prosper Mérimée,French,04/12/23,,, Prosper Mérimée's brutal short story portrays a Corsican father faced with his young son's betrayal of the family's honor code. This unforgettable tale of tribal justice explores how rigid moral codes can lead to devastating consequences in a culture built on revenge and reputation., Prosper Mérimée's brutal short story portrays a Corsican father faced with his young son's betrayal of the family's honor code. This unforgettable tale of tribal justice explores how rigid moral codes can lead to devastating consequences in a culture built on revenge and reputation.,,"Corsica, early 19th century","Mateo Falcone,Fortunato",,digital
Measure for Measure,William Shakespeare,English,04/12/23,,," Shakespeare's problem play examines sexual politics and moral hypocrisy when a virtuous woman is asked to sacrifice her honor to save her brother's life. This disturbing comedy challenges audiences with its exploration of justice, mercy, and ethical compromise."," Shakespeare's problem play examines sexual politics and moral hypocrisy when a virtuous woman is asked to sacrifice her honor to save her brother's life. This disturbing comedy challenges audiences with its exploration of justice, mercy, and ethical compromise.",,"Vienna, 16th century","Angelo,Isabella",,digital
Medea,Euripides,Greek,04/12/23,,," Euripides' revolutionary tragedy portrays a foreign princess who takes terrible revenge when abandoned by her Greek husband. This psychological masterpiece creates unprecedented sympathy for its controversial protagonist while exploring gender, power, and the outsider's perspective."," Euripides' revolutionary tragedy portrays a foreign princess who takes terrible revenge when abandoned by her Greek husband. This psychological masterpiece creates unprecedented sympathy for its controversial protagonist while exploring gender, power, and the outsider's perspective.",,"Corinth, Ancient Greece, mythological era","Medea,Jason",,digital
Michael Kohlhaas,Heinrich von Kleist,German,04/12/23,,, Heinrich von Kleist's novella follows a horse dealer's transformation from law-abiding citizen to violent rebel when denied legal justice. This intense exploration of righteous obsession asks how far one should go when the legal system fails to provide redress for legitimate grievances., Heinrich von Kleist's novella follows a horse dealer's transformation from law-abiding citizen to violent rebel when denied legal justice. This intense exploration of righteous obsession asks how far one should go when the legal system fails to provide redress for legitimate grievances.,,"Saxony and Brandenburg, 16th century",Michael Kohlhaas,,digital
Middlemarch,George Eliot,English,04/12/23,,," George Eliot's monumental novel portrays an entire provincial community and the intertwined lives of idealistic Dorothea Brooke and reform-minded doctor Tertius Lydgate. This masterpiece of psychological realism examines marriage, vocation, and the challenge of living a meaningful life in an imperfect society."," George Eliot's monumental novel portrays an entire provincial community and the intertwined lives of idealistic Dorothea Brooke and reform-minded doctor Tertius Lydgate. This masterpiece of psychological realism examines marriage, vocation, and the challenge of living a meaningful life in an imperfect society.",,"Provincial England, 1830s","Dorothea Brooke,Tertius Lydgate",,digital
Miss Harriet,Guy de Maupassant,French,04/12/23,,, Guy de Maupassant's poignant novella portrays an eccentric English spinster whose hidden passion for a young painter ends in tragedy. This sensitive character study challenges stereotypes about unmarried women while exploring the universal human need for connection and understanding., Guy de Maupassant's poignant novella portrays an eccentric English spinster whose hidden passion for a young painter ends in tragedy. This sensitive character study challenges stereotypes about unmarried women while exploring the universal human need for connection and understanding.,,"Normandy, France, late 19th century","Miss Harriet,Chaval",,digital
Moby-Dick,Herman Melville,English,04/12/23,,," Herman Melville's epic novel follows Captain Ahab's monomaniacal pursuit of the white whale that took his leg. This profound American masterpiece combines whaling adventure with philosophical exploration as it examines humanity's relationship to nature, fate, and the cosmic mysteries."," Herman Melville's epic novel follows Captain Ahab's monomaniacal pursuit of the white whale that took his leg. This profound American masterpiece combines whaling adventure with philosophical exploration as it examines humanity's relationship to nature, fate, and the cosmic mysteries.",,"Aboard whaling ship Pequod, global oceans, 1840s","Ishmael,Captain Ahab",,digital
Moll Flanders,Daniel Defoe,English,04/12/23,,, Daniel Defoe's picaresque novel follows the adventures of a resourceful woman who uses her wits and sexuality to survive in a hostile world. This proto-feminist work combines social realism with moral ambiguity through its unforgettable first-person narrative., Daniel Defoe's picaresque novel follows the adventures of a resourceful woman who uses her wits and sexuality to survive in a hostile world. This proto-feminist work combines social realism with moral ambiguity through its unforgettable first-person narrative.,,"England and American colonies, late 17th to early 18th century",Moll Flanders,,digital
Much Ado About Nothing,William Shakespeare,English,04/12/23,,," Shakespeare's sparkling comedy portrays the ""merry war"" of wits between reluctant lovers Beatrice and Benedick alongside a more serious plot involving slander and deception. This beloved play balances hilarious verbal sparring with darker themes of honor and trust."," Shakespeare's sparkling comedy portrays the ""merry war"" of wits between reluctant lovers Beatrice and Benedick alongside a more serious plot involving slander and deception. This beloved play balances hilarious verbal sparring with darker themes of honor and trust.",,"Messina, Sicily, Renaissance era","Beatrice,Benedick",,digital
My Ántonia,Willa Cather,English,04/12/23,,, Willa Cather's lyrical novel celebrates the courage and vitality of a Bohemian immigrant girl on the Nebraska prairie. This American classic explores the immigrant experience through vivid characterization and evocative descriptions of the untamed landscape that shaped its inhabitants., Willa Cather's lyrical novel celebrates the courage and vitality of a Bohemian immigrant girl on the Nebraska prairie. This American classic explores the immigrant experience through vivid characterization and evocative descriptions of the untamed landscape that shaped its inhabitants.,,"Nebraska prairie, late 19th to early 20th century","Jim Burden,Ántonia Shimerda",,digital
Nana,Émile Zola,French,04/12/23,,, Émile Zola's scandalous novel follows the career of a prostitute who rises to become a celebrated courtesan while destroying the men who desire her. This unflinching portrayal of sexual exploitation and corruption serves as a metaphor for the moral decay of France's Second Empire., Émile Zola's scandalous novel follows the career of a prostitute who rises to become a celebrated courtesan while destroying the men who desire her. This unflinching portrayal of sexual exploitation and corruption serves as a metaphor for the moral decay of France's Second Empire.,,"Paris, Second French Empire, 1860s-1870s","Nana,Count Muffat",,digital
Nicholas Nickleby,Charles Dickens,English,04/12/23,,, Charles Dickens' energetic novel follows a young man protecting his family from his villainous uncle while encountering a host of memorable characters. This sprawling adventure combines social criticism of brutal Yorkshire schools with theatrical escapades and romantic complications., Charles Dickens' energetic novel follows a young man protecting his family from his villainous uncle while encountering a host of memorable characters. This sprawling adventure combines social criticism of brutal Yorkshire schools with theatrical escapades and romantic complications.,,"England, 1830s","Nicholas Nickleby,Ralph Nickleby",,digital
Ninety-Three,Victor Hugo,French,04/12/23,,, Victor Hugo's final novel dramatizes the French Revolution's most extreme year through royalists and republicans caught in the Vendée civil war. This historical epic examines how political idealism confronts human compassion when revolutionary principles demand terrible sacrifices., Victor Hugo's final novel dramatizes the French Revolution's most extreme year through royalists and republicans caught in the Vendée civil war. This historical epic examines how political idealism confronts human compassion when revolutionary principles demand terrible sacrifices.,,"Brittany during French Revolution, 1793","Cimourdain,Marquis de Lantenac",,digital
No More Parades,Ford Madox Ford,English,04/12/23,,, The second novel in Ford Madox Ford's Parade's End tetralogy follows Christopher Tietjens as he navigates the chaos of wartime while maintaining his rigid code of honor. This modernist masterpiece examines how the Great War shattered traditional English values through its protagonist's psychological struggles., The second novel in Ford Madox Ford's Parade's End tetralogy follows Christopher Tietjens as he navigates the chaos of wartime while maintaining his rigid code of honor. This modernist masterpiece examines how the Great War shattered traditional English values through its protagonist's psychological struggles.,,"England and France, World War I","Christopher Tietjens,Sylvia Tietjens",,digital
Northanger Abbey,Jane Austen,English,04/12/23,,, Jane Austen's affectionate parody of Gothic novels follows naive Catherine Morland as she learns to distinguish between fictional horrors and real-world social predators. This playful coming-of-age story combines literary satire with gentle romance and sharp social observation., Jane Austen's affectionate parody of Gothic novels follows naive Catherine Morland as she learns to distinguish between fictional horrors and real-world social predators. This playful coming-of-age story combines literary satire with gentle romance and sharp social observation.,,"Bath and Northanger Abbey, England, late 18th century","Catherine Morland,Henry Tilney",,digital
Nostromo,Joseph Conrad,English,04/12/23,,," Joseph Conrad's political masterpiece portrays how a silver mine corrupts everyone connected to it in a volatile South American republic. This complex meditation on capitalism, imperialism, and revolution creates an entire society through unforgettable characters driven by conflicting ideals and interests."," Joseph Conrad's political masterpiece portrays how a silver mine corrupts everyone connected to it in a volatile South American republic. This complex meditation on capitalism, imperialism, and revolution creates an entire society through unforgettable characters driven by conflicting ideals and interests.",,"Fictional Costaguana (Latin America), late 19th century","Nostromo,Charles Gould",,digital
Notes from Underground,Fyodor Dostoevsky,Russian,04/12/23,,, Fyodor Dostoevsky's revolutionary novella presents the bitter confessions of an isolated former civil servant raging against rational self-interest. This foundational work of existentialist literature challenges Enlightenment optimism through its alienated antihero's paradoxical psychology., Fyodor Dostoevsky's revolutionary novella presents the bitter confessions of an isolated former civil servant raging against rational self-interest. This foundational work of existentialist literature challenges Enlightenment optimism through its alienated antihero's paradoxical psychology.,,"St. Petersburg, Russia, 1860s",Underground Man,,digital
Notre Cœur,Guy de Maupassant,French,04/12/23,,, Guy de Maupassant's final novel portrays a writer's destructive obsession with an emotionally detached woman who collects admirers. This subtle psychological study examines modern love's limitations through characters unable to reconcile romantic ideals with their contradictory needs for freedom and possession., Guy de Maupassant's final novel portrays a writer's destructive obsession with an emotionally detached woman who collects admirers. This subtle psychological study examines modern love's limitations through characters unable to reconcile romantic ideals with their contradictory needs for freedom and possession.,,"Paris and Normandy, late 19th century","André Mariolle,Michèle de Burne",,digital
Notre-Dame de Paris,Victor Hugo,French,04/12/23,,," Victor Hugo's gothic masterpiece intertwines the fates of a beautiful gypsy, a tormented priest, and a deformed bell-ringer against the backdrop of medieval Paris. This passionate historical romance combines spectacular set pieces with profound reflections on architecture, fate, and human desire."," Victor Hugo's gothic masterpiece intertwines the fates of a beautiful gypsy, a tormented priest, and a deformed bell-ringer against the backdrop of medieval Paris. This passionate historical romance combines spectacular set pieces with profound reflections on architecture, fate, and human desire.",,"Paris, 1482","Quasimodo,Esmeralda",,digital
O Pioneers!,Willa Cather,English,04/12/23,,, Willa Cather's breakthrough novel follows strong-willed Alexandra Bergson as she transforms wild prairie land into a prosperous farm. This lyrical celebration of immigrant determination beautifully portrays the American frontier experience through its stoic heroine's connection to the untamed landscape., Willa Cather's breakthrough novel follows strong-willed Alexandra Bergson as she transforms wild prairie land into a prosperous farm. This lyrical celebration of immigrant determination beautifully portrays the American frontier experience through its stoic heroine's connection to the untamed landscape.,,"Nebraska prairie, early 20th century","Alexandra Bergson,Carl Linstrum",,digital
Oedipus at Colonus,Sophocles,Greek,04/12/23,,," Sophocles' final play portrays the blind, exiled Oedipus finding spiritual redemption before his mysterious death. This profound meditation on suffering, divine justice, and transcendence offers hope that even the most tragic life can achieve meaning and dignity in its conclusion."," Sophocles' final play portrays the blind, exiled Oedipus finding spiritual redemption before his mysterious death. This profound meditation on suffering, divine justice, and transcendence offers hope that even the most tragic life can achieve meaning and dignity in its conclusion.",,"Colonus near Athens, mythological era","Oedipus,Antigone",,digital
Oedipus Rex,Sophocles,Greek,04/12/23,,, Sophocles' definitive tragedy follows a king's investigation of a plague that leads to the devastating discovery of his own identity. This perfect dramatic structure reveals how human intelligence can uncover unbearable truth through its protagonist's relentless pursuit of knowledge., Sophocles' definitive tragedy follows a king's investigation of a plague that leads to the devastating discovery of his own identity. This perfect dramatic structure reveals how human intelligence can uncover unbearable truth through its protagonist's relentless pursuit of knowledge.,,"Thebes, Ancient Greece, mythological era","Oedipus,Jocasta",,digital
Oliver Twist,Charles Dickens,English,04/12/23,,, Charles Dickens' second novel follows an orphan's journey from workhouse misery through London's criminal underworld to eventual salvation. This powerful social protest combines unforgettable characters with searing criticism of Victorian poverty laws and institutional cruelty toward children., Charles Dickens' second novel follows an orphan's journey from workhouse misery through London's criminal underworld to eventual salvation. This powerful social protest combines unforgettable characters with searing criticism of Victorian poverty laws and institutional cruelty toward children.,,"London, 1830s","Oliver Twist,Fagin",,digital
One of Ours,Willa Cather,English,04/12/23,,, Willa Cather's Pulitzer Prize-winning novel follows a restless Nebraska farmer who finds purpose in World War I after feeling alienated from his community. This sensitive portrayal of American idealism confronts the gap between romantic expectations and harsh realities both at home and in war., Willa Cather's Pulitzer Prize-winning novel follows a restless Nebraska farmer who finds purpose in World War I after feeling alienated from his community. This sensitive portrayal of American idealism confronts the gap between romantic expectations and harsh realities both at home and in war.,,"Nebraska and France, World War I era",Claude Wheeler,,digital
Ormond,Maria Edgeworth,English,04/12/23,,, Maria Edgeworth's gothic-influenced novel portrays a young woman navigating financial ruin while pursued by a dangerous libertine with revolutionary ideas. This complex work combines social realism with psychological suspense while examining radical philosophy's impact on personal morality., Maria Edgeworth's gothic-influenced novel portrays a young woman navigating financial ruin while pursued by a dangerous libertine with revolutionary ideas. This complex work combines social realism with psychological suspense while examining radical philosophy's impact on personal morality.,,"Ireland, 1790s","Ormond,Annaly",,digital
Oroonoko,Aphra Behn,English,04/12/23,,, Aphra Behn's groundbreaking novella tells the tragic story of an enslaved African prince in Surinam. This pioneering work combines romantic adventure with early anti-slavery sentiment through its noble protagonist's rebellion against injustice., Aphra Behn's groundbreaking novella tells the tragic story of an enslaved African prince in Surinam. This pioneering work combines romantic adventure with early anti-slavery sentiment through its noble protagonist's rebellion against injustice.,,"Surinam (Dutch colony) and West Africa, mid-17th century","Oroonoko,Imoinda",,digital
Othello,William Shakespeare,English,04/12/23,,," Shakespeare's devastating tragedy follows a Moorish general destroyed by jealousy when his ensign convinces him his wife is unfaithful. This unflinching exploration of racism, psychological manipulation, and sexual insecurity creates unbearable tension through its villain's masterful orchestration of appearances."," Shakespeare's devastating tragedy follows a Moorish general destroyed by jealousy when his ensign convinces him his wife is unfaithful. This unflinching exploration of racism, psychological manipulation, and sexual insecurity creates unbearable tension through its villain's masterful orchestration of appearances.",,"Venice and Cyprus, 16th century","Othello,Iago",,digital
Our Mutual Friend,Charles Dickens,English,04/12/23,,, Charles Dickens' final completed novel uses a disputed inheritance to explore Victorian England's obsession with money and social status. This complex masterpiece combines satirical portraits of wealth-worshippers with redemptive love stories amid the dust heaps and river scavengers of London., Charles Dickens' final completed novel uses a disputed inheritance to explore Victorian England's obsession with money and social status. This complex masterpiece combines satirical portraits of wealth-worshippers with redemptive love stories amid the dust heaps and river scavengers of London.,,"London, 1860s","John Harmon,Bella Wilfer",,digital
Our Nig,Harriet E. Wilson,English,04/12/23,,, Harriet E. Wilson's groundbreaking semi-autobiographical novel portrays a free Black girl abandoned to brutal servitude in a northern white household. This powerful indictment of northern racism exposes the hypocrisy of abolitionists who ignored the suffering of free Black Americans in their own communities., Harriet E. Wilson's groundbreaking semi-autobiographical novel portrays a free Black girl abandoned to brutal servitude in a northern white household. This powerful indictment of northern racism exposes the hypocrisy of abolitionists who ignored the suffering of free Black Americans in their own communities.,,"New England, mid-19th century",Frado,,digital
Ozma of Oz,L. Frank Baum,English,04/12/23,,," L. Frank Baum's third Oz book reunites Dorothy with her chicken Billina on a magical adventure in the Land of Ev. This delightful fantasy introduces beloved characters like Tiktok the mechanical man and Princess Ozma while exploring themes of courage, identity, and friendship."," L. Frank Baum's third Oz book reunites Dorothy with her chicken Billina on a magical adventure in the Land of Ev. This delightful fantasy introduces beloved characters like Tiktok the mechanical man and Princess Ozma while exploring themes of courage, identity, and friendship.",,Oz and neighboring magical lands,"Dorothy Gale,Ozma",,digital
Pamela,Samuel Richardson,English,04/12/23,,," Samuel Richardson's revolutionary novel presents a servant girl's letters detailing her resistance to her employer's seduction attempts. This landmark work established the psychological novel while sparking fierce debates about class, virtue, and female autonomy through its controversial portrayal of resistance rewarded."," Samuel Richardson's revolutionary novel presents a servant girl's letters detailing her resistance to her employer's seduction attempts. This landmark work established the psychological novel while sparking fierce debates about class, virtue, and female autonomy through its controversial portrayal of resistance rewarded.",,"England, early 18th century","Pamela Andrews,Mr. B",,digital
Pandora,Henry James,English,04/12/23,,, Johann Wolfgang von Goethe's symbolist novella portrays an artist's encounter with the spirit of harmony contained within a mysterious box. This lyrical work explores the redemptive power of art through ancient mythology transformed by the German romantic imagination., Johann Wolfgang von Goethe's symbolist novella portrays an artist's encounter with the spirit of harmony contained within a mysterious box. This lyrical work explores the redemptive power of art through ancient mythology transformed by the German romantic imagination.,,"Various European settings, late 19th century","Pandora Day,Count Otto",,digital
Parade's End,Ford Madox Ford,English,04/12/23,,, Ford Madox Ford's ambitious tetralogy follows aristocratic Christopher Tietjens through World War I and its aftermath as he clings to outdated values in a changing world. This modernist masterpiece provides an unparalleled portrait of English society in transition through its protagonist's psychological and moral struggles., Ford Madox Ford's ambitious tetralogy follows aristocratic Christopher Tietjens through World War I and its aftermath as he clings to outdated values in a changing world. This modernist masterpiece provides an unparalleled portrait of English society in transition through its protagonist's psychological and moral struggles.,,"England and France, World War I era","Christopher Tietjens,Sylvia Tietjens",,digital
Patronage,Maria Edgeworth,English,04/12/23,,, Maria Edgeworth's sweeping novel compares two families—one advancing through political connections and another through merit. This incisive exploration of professional ethics remains surprisingly relevant in its examination of integrity versus expedience in public and private life., Maria Edgeworth's sweeping novel compares two families—one advancing through political connections and another through merit. This incisive exploration of professional ethics remains surprisingly relevant in its examination of integrity versus expedience in public and private life.,,"England, early 19th century","Caroline Percy,Count Altenberg",,digital
Paul and Virginia,Jacques-Henri Bernardin de Saint-Pierre,French,04/12/23,,, Bernardin de Saint-Pierre's influential novel portrays the innocent love of two children raised in harmony with nature on a tropical island. This pre-romantic classic combines sentimental education with criticism of civilization through its idealized portrait of natural virtue destroyed by European corruption., Bernardin de Saint-Pierre's influential novel portrays the innocent love of two children raised in harmony with nature on a tropical island. This pre-romantic classic combines sentimental education with criticism of civilization through its idealized portrait of natural virtue destroyed by European corruption.,,"Mauritius (then Île de France), late 18th century","Paul,Virginia",,digital
Peace,Aristophanes,Greek,04/12/23,,, Aristophanes' ancient comedy personifies Peace as a goddess rescued from imprisonment to end the Peloponnesian War. This exuberant anti-war play celebrates rural prosperity and simple pleasures while satirizing the politicians and profiteers who benefit from endless conflict., Aristophanes' ancient comedy personifies Peace as a goddess rescued from imprisonment to end the Peloponnesian War. This exuberant anti-war play celebrates rural prosperity and simple pleasures while satirizing the politicians and profiteers who benefit from endless conflict.,,"Ancient Athens, during the Peloponnesian War",Trygaeus,,digital
Pelléas et Mélisande,Maurice Maeterlinck,French,04/12/23,,, Maurice Maeterlinck's symbolist drama portrays the doomed love between a mysterious young woman and her husband's brother. This dreamlike play creates an atmosphere of fate and forbidden passion through poetic imagery and psychological suggestion., Maurice Maeterlinck's symbolist drama portrays the doomed love between a mysterious young woman and her husband's brother. This dreamlike play creates an atmosphere of fate and forbidden passion through poetic imagery and psychological suggestion.,,Medieval Allemonde (fictional kingdom),"Pelléas,Mélisande",,digital
Penthesilea,Heinrich von Kleist,German,04/12/23,,, Heinrich von Kleist's revolutionary drama portrays the Amazon queen's catastrophic passion for Achilles during the Trojan War. This violent exploration of desire and identity challenges classical restraint with its extreme emotional states and transgressive female sexuality., Heinrich von Kleist's revolutionary drama portrays the Amazon queen's catastrophic passion for Achilles during the Trojan War. This violent exploration of desire and identity challenges classical restraint with its extreme emotional states and transgressive female sexuality.,,"Outside Troy, mythological era","Penthesilea,Achilles",,digital
Père Goriot,Honoré de Balzac,French,04/12/23,,," Honoré de Balzac's masterpiece follows three interconnected stories in a Parisian boarding house—an old father's ruinous devotion to his ungrateful daughters, a criminal's philosophy, and a young man's moral education. This cornerstone of the Human Comedy exposes how ambition and greed corrupt both family bonds and society itself."," Honoré de Balzac's masterpiece follows three interconnected stories in a Parisian boarding house—an old father's ruinous devotion to his ungrateful daughters, a criminal's philosophy, and a young man's moral education. This cornerstone of the Human Comedy exposes how ambition and greed corrupt both family bonds and society itself.",,"Paris, Restoration period (1819-1820)","Père Goriot,Eugène de Rastignac",,digital
Personal Narrative of Travels,Alexander von Humboldt,German,04/12/23,,," Alexander von Humboldt's influential account of his scientific expedition through Spanish America combines meticulous observation with poetic appreciation of nature. This pioneering work established the foundations of modern geography, climatology, and ecology through its holistic approach to the natural world."," Alexander von Humboldt's influential account of his scientific expedition through Spanish America combines meticulous observation with poetic appreciation of nature. This pioneering work established the foundations of modern geography, climatology, and ecology through its holistic approach to the natural world.",,"South America, early 19th century",Alexander von Humboldt,,digital
Persuasion,Jane Austen,English,04/12/23,,," Jane Austen's final completed novel portrays the renewed romance between reserved Anne Elliot and Captain Wentworth, the suitor she rejected years earlier on the advice of others. This autumnal masterpiece balances melancholy with hope through its exploration of second chances and constancy rewarded."," Jane Austen's final completed novel portrays the renewed romance between reserved Anne Elliot and Captain Wentworth, the suitor she rejected years earlier on the advice of others. This autumnal masterpiece balances melancholy with hope through its exploration of second chances and constancy rewarded.",,"England, post-Napoleonic era (1814-1815)","Anne Elliot,Captain Frederick Wentworth",,digital
Peter Camenzind,Hermann Hesse,German,04/12/23,,, Hermann Hesse's debut novel follows a young peasant from the Alps who becomes a writer while searching for meaning in European cities. This lyrical bildungsroman established Hesse's reputation with its celebration of nature and critique of modern urban alienation., Hermann Hesse's debut novel follows a young peasant from the Alps who becomes a writer while searching for meaning in European cities. This lyrical bildungsroman established Hesse's reputation with its celebration of nature and critique of modern urban alienation.,,"Switzerland and Italy, late 19th to early 20th century",Peter Camenzind,,digital
Peter Pan,J.M. Barrie,English,04/12/23,,," J.M. Barrie's beloved fantasy follows the adventures of the boy who never grows up as he takes the Darling children to Neverland. This enchanting yet melancholy classic captures the wonder and heartbreak of childhood through its exploration of imagination, adventure, and the inevitability of growing up."," J.M. Barrie's beloved fantasy follows the adventures of the boy who never grows up as he takes the Darling children to Neverland. This enchanting yet melancholy classic captures the wonder and heartbreak of childhood through its exploration of imagination, adventure, and the inevitability of growing up.",,"London and Neverland, early 20th century","Peter Pan,Wendy Darling",,digital
Philoctetes,Sophocles,Greek,04/12/23,,, Sophocles' drama portrays the moral dilemma faced by Greek warriors who abandoned their wounded comrade but now need him to win the Trojan War. This psychologically nuanced play examines the conflict between expedient deception and honest reconciliation through three complex characters., Sophocles' drama portrays the moral dilemma faced by Greek warriors who abandoned their wounded comrade but now need him to win the Trojan War. This psychologically nuanced play examines the conflict between expedient deception and honest reconciliation through three complex characters.,,"Island of Lemnos, during Trojan War","Philoctetes,Neoptolemus",,digital
Pierre et Jean,Guy de Maupassant,French,04/12/23,,," Guy de Maupassant's concise masterpiece portrays the destructive jealousy between two brothers when one receives a mysterious inheritance. This pioneering psychological novel explores how a family can be torn apart by secrets, suspicion, and the question of paternity."," Guy de Maupassant's concise masterpiece portrays the destructive jealousy between two brothers when one receives a mysterious inheritance. This pioneering psychological novel explores how a family can be torn apart by secrets, suspicion, and the question of paternity.",,"Le Havre, France, late 19th century","Pierre Roland,Jean Roland",,digital
Plutus,Aristophanes,Greek,04/12/23,,, Aristophanes' comedy imagines what happens when the god of wealth regains his sight and can distribute riches based on merit rather than chance. This satirical fantasy explores economic inequality and social justice through its fantastical premise and sharp dialogue., Aristophanes' comedy imagines what happens when the god of wealth regains his sight and can distribute riches based on merit rather than chance. This satirical fantasy explores economic inequality and social justice through its fantastical premise and sharp dialogue.,,"Ancient Athens, fictional era","Chremylus,Plutus",,digital
Pot-Bouille,Émile Zola,French,04/12/23,,, Émile Zola's scathing novel exposes the hypocrisy behind the respectable façade of a Parisian apartment building. This devastating social satire reveals the gulf between public propriety and private corruption through interconnected stories of bourgeois immorality., Émile Zola's scathing novel exposes the hypocrisy behind the respectable façade of a Parisian apartment building. This devastating social satire reveals the gulf between public propriety and private corruption through interconnected stories of bourgeois immorality.,,"Parisian apartment building, Second Empire period","Octave Mouret,Marie Pichon",,digital
Pride and Prejudice,Jane Austen,English,04/12/23,,, Jane Austen's beloved masterpiece follows intelligent Elizabeth Bennet's complicated relationship with the proud Mr. Darcy in Georgian England. This perfect comedy of manners combines romantic suspense with brilliant social observation and witty dialogue in its exploration of hasty judgments and genuine understanding., Jane Austen's beloved masterpiece follows intelligent Elizabeth Bennet's complicated relationship with the proud Mr. Darcy in Georgian England. This perfect comedy of manners combines romantic suspense with brilliant social observation and witty dialogue in its exploration of hasty judgments and genuine understanding.,,"Rural England, early 19th century","Elizabeth Bennet,Mr. Darcy",,digital
Prince Friedrich of Homburg,Heinrich von Kleist,German,04/12/23,,," Heinrich von Kleist's profound drama portrays a sleepwalking general who achieves victory by disobeying orders, then faces execution for his insubordination. This complex exploration of military discipline, romantic individualism, and the dream-like nature of reality challenges simplistic notions of heroism and duty."," Heinrich von Kleist's profound drama portrays a sleepwalking general who achieves victory by disobeying orders, then faces execution for his insubordination. This complex exploration of military discipline, romantic individualism, and the dream-like nature of reality challenges simplistic notions of heroism and duty.",,"Brandenburg, 17th century","Prince Friedrich,The Elector",,digital
Prometheus Bound,Aeschylus,Greek,04/12/23,,," Aeschylus's revolutionary tragedy portrays the Titan who gave humans fire and knowledge suffering eternal punishment from Zeus. This profound meditation on tyranny, resistance, and the price of progress remains a powerful symbol of defiance against unjust authority."," Aeschylus's revolutionary tragedy portrays the Titan who gave humans fire and knowledge suffering eternal punishment from Zeus. This profound meditation on tyranny, resistance, and the price of progress remains a powerful symbol of defiance against unjust authority.",,"Mountainous region, mythological era",Prometheus,,digital
Pudd'nhead Wilson,Mark Twain,English,04/12/23,,, Mark Twain's darkest novel uses switched identities between slave and master to expose the absurdity of racial classifications in the antebellum South. This subversive masterpiece combines detective story elements with devastating social critique through its exploration of nature versus nurture., Mark Twain's darkest novel uses switched identities between slave and master to expose the absurdity of racial classifications in the antebellum South. This subversive masterpiece combines detective story elements with devastating social critique through its exploration of nature versus nurture.,,"Fictional Missouri town, pre-Civil War","Pudd'nhead Wilson,Tom Driscoll",,digital
Queen Margot,Alexandre Dumas,French,04/12/23,,," Alexandre Dumas's historical novel vividly recreates the St. Bartholomew's Day Massacre through the experiences of Marguerite de Valois and her Huguenot lover. This swashbuckling romance combines political intrigue, passionate affairs, and religious conflict during one of France's bloodiest periods."," Alexandre Dumas's historical novel vividly recreates the St. Bartholomew's Day Massacre through the experiences of Marguerite de Valois and her Huguenot lover. This swashbuckling romance combines political intrigue, passionate affairs, and religious conflict during one of France's bloodiest periods.",,"Paris and France, 16th century","Queen Margot,La Môle",,digital
Resurrection,Leo Tolstoy,Russian,04/12/23,,, Leo Tolstoy's final novel follows a nobleman's spiritual awakening when he realizes his youthful seduction of a servant girl led to her life of prostitution. This powerful moral parable combines devastating social criticism with hope for personal redemption through its protagonist's journey from guilt to action., Leo Tolstoy's final novel follows a nobleman's spiritual awakening when he realizes his youthful seduction of a servant girl led to her life of prostitution. This powerful moral parable combines devastating social criticism with hope for personal redemption through its protagonist's journey from guilt to action.,,"Russia, late 19th century","Prince Dmitri Nekhlyudov,Katerina Maslova",,digital
Richard III,William Shakespeare,English,04/12/23,,, Shakespeare's history play portrays the bloody rise and fall of England's most charismatic villain-king. This theatrical tour de force creates an unforgettable protagonist who takes audiences into his confidence while orchestrating murder after murder in his ruthless pursuit of power., Shakespeare's history play portrays the bloody rise and fall of England's most charismatic villain-king. This theatrical tour de force creates an unforgettable protagonist who takes audiences into his confidence while orchestrating murder after murder in his ruthless pursuit of power.,,"England, 15th century","Richard III,Lady Anne",,digital
Robinson Crusoe,Daniel Defoe,English,04/12/23,,," Daniel Defoe's landmark novel follows a shipwrecked sailor who survives for twenty-eight years on a remote tropical island. This compelling adventure established the realistic novel while exploring themes of self-reliance, colonialism, and spiritual growth through its detailed first-person narration."," Daniel Defoe's landmark novel follows a shipwrecked sailor who survives for twenty-eight years on a remote tropical island. This compelling adventure established the realistic novel while exploring themes of self-reliance, colonialism, and spiritual growth through its detailed first-person narration.",,"Caribbean island, mid-17th to early 18th century","Robinson Crusoe,Friday",,digital
